~WorkID~,~ChapterID~,~Section~,~Chapter~,~Description~
~asyoulikeit~,18802,4,1,~The forest~
~asyoulikeit~,18803,4,2,~The forest~
~asyoulikeit~,18804,4,3,~The forest~
~asyoulikeit~,18805,5,1,~The forest~
~asyoulikeit~,18806,5,2,~The forest~
~asyoulikeit~,18807,5,3,~The forest~
~asyoulikeit~,18808,5,4,~The forest~
~comedyerrors~,18809,1,1,~A hall in DUKE SOLINUS&#8217;S palace.~
~comedyerrors~,18810,1,2,~The Mart.~
~comedyerrors~,18811,2,1,~The house of ANTIPHOLUS of Ephesus.~
~comedyerrors~,18812,2,2,~A public place.~
~comedyerrors~,18813,3,1,~Before the house of ANTIPHOLUS of Ephesus.~
~comedyerrors~,18814,3,2,~The same.~
~comedyerrors~,18815,4,1,~A public place.~
~comedyerrors~,18816,4,2,~The house of ANTIPHOLUS of Ephesus.~
~comedyerrors~,18817,4,3,~A public place.~
~comedyerrors~,18818,4,4,~A street.~
~comedyerrors~,18819,5,1,~A street before a Priory.~
~coriolanus~,18820,1,1,~Rome. A street.~
~coriolanus~,18821,1,2,~Corioli. The Senate-house.~
~coriolanus~,18822,1,3,~Rome. A room in CORIOLANUS&#8217; house.~
~coriolanus~,18823,1,4,~Before Corioli.~
~coriolanus~,18824,1,5,~Corioli. A street.~
~coriolanus~,18825,1,6,~Near the camp of Cominius.~
~coriolanus~,18826,1,7,~The gates of Corioli.~
~coriolanus~,18827,1,8,~A field of battle.~
~coriolanus~,18828,1,9,~The Roman camp.~
~coriolanus~,18829,1,10,~The camp of the Volsces.
~
~coriolanus~,18830,2,1,~Rome. A public place.~
~coriolanus~,18831,2,2,~The same. The Capitol.~
~coriolanus~,18832,2,3,~The same. The Forum.~
~coriolanus~,18833,3,1,~Rome. A street.~
~coriolanus~,18834,3,2,~A room in CORIOLANUS&#8217;S house.~
~coriolanus~,18835,3,3,~The same. The Forum.~
~coriolanus~,18836,4,2,~The same. A street near the gate.~
~coriolanus~,18837,4,3,~A highway between Rome and Antium.~
~coriolanus~,18838,4,4,~Antium. Before Aufidius&#8217;s house.~
~coriolanus~,18839,4,5,~The same. A hall in Aufidius&#8217;s house.~
~coriolanus~,18840,4,6,~Rome. A public place.~
~coriolanus~,18841,4,7,~A camp, at a small distance from Rome.~
~coriolanus~,18842,5,1,~Rome. A public place.~
~coriolanus~,18843,5,2,~Entrance of the Volscian camp before Rome.~
~coriolanus~,18844,5,3,~The tent of Coriolanus.~
~coriolanus~,18845,5,4,~Rome. A public place.~
~coriolanus~,18846,5,5,~The same. A street near the gate.~
~coriolanus~,18847,5,6,~Antium. A public place.~
~cymbeline~,18848,1,1,~Britain. The garden of Cymbeline&#8217;s palace.~
~cymbeline~,18849,1,2,~The same. A public place.~
~cymbeline~,18850,1,3,~A room in Cymbeline&#8217;s palace.~
~cymbeline~,18851,1,4,~Rome. Philario&#8217;s house.~
~cymbeline~,18852,1,5,~Britain. A room in Cymbeline&#8217;s palace.~
~cymbeline~,18853,1,6,~The same. Another room in the palace.~
~cymbeline~,18854,2,1,~Britain. Before Cymbeline&#8217;s palace.~
~cymbeline~,18855,2,2,~Imogen&#8217;s bedchamber in Cymbeline&#8217;s palace:~
~cymbeline~,18856,2,3,~An ante-chamber adjoining Imogen&#8217;s apartments.~
~cymbeline~,18857,2,4,~Rome. Philario&#8217;s house.~
~cymbeline~,18858,2,5,~Another room in Philario&#8217;s house.~
~cymbeline~,18859,3,1,~Britain. A hall in Cymbeline&#8217;s palace.~
~cymbeline~,18860,3,2,~Another room in the palace.~
~cymbeline~,18861,3,3,~Wales: a mountainous country with a cave.~
~cymbeline~,18862,3,4,~Country near Milford-Haven.~
~cymbeline~,18863,3,5,~A room in Cymbeline&#8217;s palace.~
~cymbeline~,18864,3,6,~Wales. Before the cave of Belarius.~
~cymbeline~,18865,3,7,~Rome. A public place.~
~cymbeline~,18866,4,1,~Wales: near the cave of Belarius.~
~cymbeline~,18867,4,2,~Before the cave of Belarius.~
~cymbeline~,18868,4,3,~A room in Cymbeline&#8217;s palace.~
~cymbeline~,18869,4,4,~Wales: before the cave of Belarius.~
~cymbeline~,18870,5,1,~Britain. The Roman camp.~
~cymbeline~,18871,5,2,~Field of battle between the British and Roman camps.~
~cymbeline~,18872,5,3,~Another part of the field.~
~cymbeline~,18873,5,4,~A British prison.~
~cymbeline~,18874,5,5,~Cymbeline&#8217;s tent.~
~hamlet~,18875,1,1,~Elsinore. A platform before the Castle.~
~hamlet~,18876,1,2,~Elsinore. A room of state in the Castle.~
~hamlet~,18877,1,3,~Elsinore. A room in the house of Polonius.~
~hamlet~,18878,1,4,~Elsinore. The platform before the Castle.~
~hamlet~,18879,1,5,~Elsinore. The Castle. Another part of the fortifications.~
~hamlet~,18880,2,1,~Elsinore. A room in the house of Polonius.~
~hamlet~,18881,2,2,~Elsinore. A room in the Castle.~
~hamlet~,18882,3,1,~Elsinore. A room in the Castle.~
~hamlet~,18883,3,2,~Elsinore. hall in the Castle.~
~hamlet~,18884,3,3,~A room in the Castle.~
~hamlet~,18885,3,4,~The Queen&#8217;s closet.~
~hamlet~,18886,4,1,~Elsinore. A room in the Castle.~
~hamlet~,18887,4,2,~Elsinore. A passage in the Castle.~
~hamlet~,18888,4,3,~Elsinore. A room in the Castle.~
~hamlet~,18889,4,4,~Near Elsinore.~
~hamlet~,18890,4,5,~Elsinore. A room in the Castle.~
~hamlet~,18891,4,6,~Elsinore. Another room in the Castle.~
~hamlet~,18892,4,7,~Elsinore. Another room in the Castle.~
~hamlet~,18893,5,1,~Elsinore. A churchyard.~
~hamlet~,18894,5,2,~Elsinore. A hall in the Castle.~
~henry4p1~,18895,1,1,~London. The palace.~
~henry4p1~,18896,1,2,~London. An apartment of the Prince&#8217;s.~
~henry4p1~,18897,1,3,~London. The palace.~
~henry4p1~,18898,2,1,~Rochester. An inn yard.~
~henry4p1~,18899,2,2,~The highway, near Gadshill.~
~henry4p1~,18900,2,3,~Warkworth castle~
~henry4p1~,18901,2,4,~The Boar&#8217;s-Head Tavern, Eastcheap.~
~henry4p1~,18902,3,1,~Bangor. The Archdeacon&#8217;s house.~
~henry4p1~,18903,3,2,~London. The palace.~
~henry4p1~,18904,3,3,~Eastcheap. The Boar&#8217;s-Head Tavern.~
~henry4p1~,18905,4,1,~The rebel camp near Shrewsbury.~
~henry4p1~,18906,4,2,~A public road near Coventry.~
~henry4p1~,18907,4,3,~The rebel camp near Shrewsbury.~
~henry4p1~,18908,4,4,~York. The ARCHBISHOP&#8217;S palace.~
~henry4p1~,18909,5,1,~KING HENRY IV&#8217;s camp near Shrewsbury.~
~henry4p1~,18910,5,2,~The rebel camp.~
~henry4p1~,18911,5,3,~Plain between the camps.~
~henry4p1~,18912,5,4,~Another part of the field.~
~henry4p1~,18913,5,5,~Another part of the field.~
~henry4p2~,18914,0,1,~Warkworth. Before NORTHUMBERLAND&#8217;S Castle~
~henry4p2~,18915,1,1,~Warkworth. Before NORTHUMBERLAND&#8217;S Castle~
~henry4p2~,18916,1,2,~London. A street~
~henry4p2~,18917,1,3,~York. The ARCHBISHOP&#8217;S palace~
~henry4p2~,18918,2,1,~London. A street~
~henry4p2~,18919,2,2,~London. Another street~
~henry4p2~,18920,2,3,~Warkworth. Before the castle~
~henry4p2~,18921,2,4,~London. The Boar&#8217;s Head Tavern in Eastcheap~
~henry4p2~,18922,3,1,~Westminster. The palace~
~henry4p2~,18923,3,2,~Gloucestershire. Before Justice, SHALLOW&#8217;S house~
~henry4p2~,18924,4,1,~Yorkshire. Within the Forest of Gaultree~
~henry4p2~,18925,4,2,~Another part of the forest~
~henry4p2~,18926,4,3,~Another part of the forest~
~henry4p2~,18927,4,4,~Westminster. The Jerusalem Chamber~
~henry4p2~,18928,4,5,~Westminster. Another chamber~
~henry4p2~,18929,5,1,~Gloucestershire. SHALLOW&#8217;S house~
~henry4p2~,18930,5,2,~Westminster. The palace~
~henry4p2~,18931,5,3,~Gloucestershire. SHALLOW&#8217;S orchard~
~henry4p2~,18932,5,4,~London. A street~
~henry4p2~,18933,5,5,~Westminster. Near the Abbey~
~henry5~,18934,0,1,~Prologue.~
~henry5~,18935,1,1,~London. An ante-chamber in the KING&#8217;S palace.~
~henry5~,18936,1,2,~The same. The Presence chamber.~
~henry5~,18937,2,0,~Prologue.~
